"country" "region" "year" "iso"
"Albania" "Europe & Central Asia" 1996.8 "ALB"
"Albania" "Europe & Central Asia" 2002 "ALB"
"Albania" "Europe & Central Asia" 2004 "ALB"
"Albania" "Europe & Central Asia" 2005 "ALB"
"Albania" "Europe & Central Asia" 2008 "ALB"
"Algeria" "Middle East & North Africa" 1988 "DZA"
"Algeria" "Middle East & North Africa" 1995 "DZA"
"Angola" "Sub-Saharan Africa" 2000 "AGO"
"Angola" "Sub-Saharan Africa" 2008.5 "AGO"
"Armenia" "Europe & Central Asia" 1996 "ARM"
"Armenia" "Europe & Central Asia" 1998.5 "ARM"
"Armenia" "Europe & Central Asia" 2001 "ARM"
"Armenia" "Europe & Central Asia" 2002 "ARM"
"Armenia" "Europe & Central Asia" 2003 "ARM"
"Armenia" "Europe & Central Asia" 2004 "ARM"
"Armenia" "Europe & Central Asia" 2005 "ARM"
"Armenia" "Europe & Central Asia" 2006 "ARM"
"Armenia" "Europe & Central Asia" 2007 "ARM"
"Armenia" "Europe & Central Asia" 2008 "ARM"
"Armenia" "Europe & Central Asia" 2010 "ARM"
"Azerbaijan" "Europe & Central Asia" 1995 "AZE"
"Azerbaijan" "Europe & Central Asia" 2001 "AZE"
"Azerbaijan" "Europe & Central Asia" 2008 "AZE"
"Bangladesh" "South Asia" 1983.5 "BGD"
"Bangladesh" "South Asia" 1985.5 "BGD"
"Bangladesh" "South Asia" 1988.5 "BGD"
"Bangladesh" "South Asia" 1991.5 "BGD"
"Bangladesh" "South Asia" 1995.5 "BGD"
"Bangladesh" "South Asia" 2000 "BGD"
"Bangladesh" "South Asia" 2005 "BGD"
"Bangladesh" "South Asia" 2010 "BGD"
"Belarus" "Europe & Central Asia" 1988 "BLR"
"Belarus" "Europe & Central Asia" 1993 "BLR"
"Belarus" "Europe & Central Asia" 1995 "BLR"
"Belarus" "Europe & Central Asia" 1998 "BLR"
"Belarus" "Europe & Central Asia" 2000 "BLR"
"Belarus" "Europe & Central Asia" 2001 "BLR"
"Belarus" "Europe & Central Asia" 2002 "BLR"
"Belarus" "Europe & Central Asia" 2004 "BLR"
"Belarus" "Europe & Central Asia" 2005 "BLR"
"Belarus" "Europe & Central Asia" 2006 "BLR"
"Belarus" "Europe & Central Asia" 2007 "BLR"
"Belarus" "Europe & Central Asia" 2008 "BLR"
"Belarus" "Europe & Central Asia" 2009 "BLR"
"Belarus" "Europe & Central Asia" 2010 "BLR"
"Belarus" "Europe & Central Asia" 2011 "BLR"
"Belize" "Latin America & Caribbean" 1993 "BLZ"
"Belize" "Latin America & Caribbean" 1994 "BLZ"
"Belize" "Latin America & Caribbean" 1995 "BLZ"
"Belize" "Latin America & Caribbean" 1996 "BLZ"
"Belize" "Latin America & Caribbean" 1997 "BLZ"
"Belize" "Latin America & Caribbean" 1998 "BLZ"
"Belize" "Latin America & Caribbean" 1999 "BLZ"
"Benin" "Sub-Saharan Africa" 2003 "BEN"
"Bhutan" "South Asia" 2003 "BTN"
"Bhutan" "South Asia" 2007 "BTN"
"Bhutan" "South Asia" 2012 "BTN"
"Bolivia" "Latin America & Caribbean" 1990.5 "BOL"
"Bolivia" "Latin America & Caribbean" 1993 "BOL"
"Bolivia" "Latin America & Caribbean" 1997 "BOL"
"Bolivia" "Latin America & Caribbean" 1999 "BOL"
"Bolivia" "Latin America & Caribbean" 2000 "BOL"
"Bolivia" "Latin America & Caribbean" 2001 "BOL"
"Bolivia" "Latin America & Caribbean" 2002 "BOL"
"Bolivia" "Latin America & Caribbean" 2005 "BOL"
"Bolivia" "Latin America & Caribbean" 2006 "BOL"
"Bolivia" "Latin America & Caribbean" 2007 "BOL"
"Bolivia" "Latin America & Caribbean" 2008 "BOL"
"Bosnia and Herzegovina" "Europe & Central Asia" 2001 "BIH"
"Bosnia and Herzegovina" "Europe & Central Asia" 2004 "BIH"
"Bosnia and Herzegovina" "Europe & Central Asia" 2007 "BIH"
"Botswana" "Sub-Saharan Africa" 1985.5 "BWA"
"Botswana" "Sub-Saharan Africa" 1993.9 "BWA"
"Brazil" "Latin America & Caribbean" 1981 "BRA"
"Brazil" "Latin America & Caribbean" 1982 "BRA"
"Brazil" "Latin America & Caribbean" 1983 "BRA"
"Brazil" "Latin America & Caribbean" 1984 "BRA"
"Brazil" "Latin America & Caribbean" 1985 "BRA"
"Brazil" "Latin America & Caribbean" 1986 "BRA"
"Brazil" "Latin America & Caribbean" 1987 "BRA"
"Brazil" "Latin America & Caribbean" 1988 "BRA"
"Brazil" "Latin America & Caribbean" 1989 "BRA"
"Brazil" "Latin America & Caribbean" 1990 "BRA"
"Brazil" "Latin America & Caribbean" 1992 "BRA"
"Brazil" "Latin America & Caribbean" 1993 "BRA"
"Brazil" "Latin America & Caribbean" 1995 "BRA"
"Brazil" "Latin America & Caribbean" 1996 "BRA"
"Brazil" "Latin America & Caribbean" 1997 "BRA"
"Brazil" "Latin America & Caribbean" 1998 "BRA"
"Brazil" "Latin America & Caribbean" 1999 "BRA"
"Brazil" "Latin America & Caribbean" 2001 "BRA"
"Brazil" "Latin America & Caribbean" 2002 "BRA"
"Brazil" "Latin America & Caribbean" 2003 "BRA"
"Brazil" "Latin America & Caribbean" 2004 "BRA"
"Brazil" "Latin America & Caribbean" 2005 "BRA"
"Brazil" "Latin America & Caribbean" 2006 "BRA"
"Brazil" "Latin America & Caribbean" 2007 "BRA"
"Brazil" "Latin America & Caribbean" 2008 "BRA"
"Brazil" "Latin America & Caribbean" 2009 "BRA"
"Bulgaria" "Europe & Central Asia" 1989 "BGR"
